review_id,app,platform,rating,title,body,date,version,username
13488097027,Cardoc,ios,5,최고,편리하고 좋아요,2025-12-07T17:08:28-07:00,9.0.24,goose00135
13449169245,Cardoc,ios,4,엔진오일교환,Good,2025-11-27T19:36:22-07:00,9.0.24,둘리스7
13366656144,Cardoc,ios,5,예약이 편해요^^,앱으로 예약하기도 편하고 평점 보고 갈 수 있어서 좋네요~~^^,2025-11-06T22:53:52-07:00,9.0.24,ana6812
13332677259,Cardoc,ios,5,자동차 수리시 강추 합니다.,"차량 수리시 일반인들은 수리 절차와 비용에 대해 잘 알지 못하고, 또한 업체마다 비용견적이 다른데 일일히 방문하여 견적을 알아보기도 어려운게 현실입니다. 카닥을 이용하여 이번에 수리후 대만족 하였습니다.",2025-10-30T01:23:35-07:00,9.0.24,브아앙1
13324844945,Cardoc,ios,2,결제쪽은 오류가 겁나게 많음,결제쪽은 오류가 겁나게 많음. 토스뱅크로 결제한다고하니 하나은행으로 넘어가고..,2025-10-28T05:04:07-07:00,9.0.23,쿠루르기스자크
13255240028,Cardoc,ios,5,예약 관리,주변 저렴 한 것을 추천해서 잘 컨택이 되었어,2025-10-11T20:32:07-07:00,9.0.23,스페셜80
13212772297,Cardoc,ios,1,추천 공업사 갔는데...,추천 공업사 가서 두번 수리 받음. 차에 기스가 더 생김... 그냥 포기함,2025-10-02T01:49:05-07:00,9.0.22,답답하네... 어휴
13142903560,Cardoc,ios,5,하나 건의드립니다~~,맘에 드는 공업소를 즐겨찾기 할 수 있는 기능이 있으면 좋겠습니다!,2025-09-15T20:41:21-07:00,9.0.20,차가운포도
13120135104,Cardoc,ios,5,엔진오일교환,항상 만족합니다,2025-09-10T01:33:06-07:00,9.0.20,애나가
13108976616,Cardoc,ios,5,좋네요,엔진오일종류가 많아서 선택의 폭이 넓어서 좋습니다,2025-09-07T02:40:24-07:00,9.0.20,달의시인
13058176174,Cardoc,ios,1,견적요청,견적 요청 후 해당 내용을 지우지 않는 한 다른 견적을 요청할 수 없음. 견적 요청 또한 지울 수 없음.,2025-08-25T03:15:11-07:00,9.0.20,아나랴다너
12933521973,Cardoc,ios,5,미사 그렌저 리뷰,"사장님께서 픽업도 편리하게 해주시고 , 무엇보다 저렴한 금액에 진행해주셔서 근무시간에 마음편히 수리 맡겼습니다 !",2025-07-24T22:59:39-07:00,9.0.19,엘지베스트샵
12916968136,Cardoc,ios,5,만족스러움,"아주  만족함
오일 교체 때문에  간만에  이용했는데  친절하고 믿을만함",2025-07-20T20:51:21-07:00,9.0.19,주나제이
12905089846,Cardoc,ios,1,불편한 시스템,"견적 삭제, 수정이 안됩니다. 사용자로서는 상당히 불편한 시스템 일 수 밖에 없습니다. 6월 중순 차량 기스로 수리를 하고 7월 집중호우로 차량점검이 필요한 상황인데 견적이 만료되지 않았다고 견적을 받을 수 없다고 합니다. 해당 시스템에 대해서는 개선이 필요할 것 같습니다.",2025-07-17T20:33:20-07:00,9.0.19,ikpaaaak
12870405017,Cardoc,ios,5,카닥 꼭 하세요.,"엔진오일 교환하는거 가격 때문에 은근 스트레스였는데,
차 번호만 넣으면 차량 자동 조회 되서 오일 종류도 비교 선택 가능하고, 정비소도 비교 선택 가능하니 신세계네요. 차알못 여자들이 이용하기 딱 좋아요.",2025-07-09T01:49:05-07:00,9.0.18,리노이나
12853951090,Cardoc,ios,5,좋음,좋습니다!,2025-07-04T21:17:45-07:00,9.0.18,kshkhj
12764775422,Cardoc,ios,5,대만족입니다,조수석 뒤쪽 도어가 다 긁혀서 카닥을 통해서 견적 받고 상담을 했는데 사장님이 친절하게 응대해주셔서 믿고 맡겼습니다 도금이랑 몰딩까지 깔끔하게 잘 되었습니다 픽업서비스까지 있어서 너무 편했습니다~~,2025-06-12T00:23:02-07:00,9.0.15,지성녀
12738144575,Cardoc,ios,5,좋아요,카닥 어플 좋아요 발로 안 뛰어도 되고 알아서 정비업체가 견적 내주니깐 너무 편하고 좋아요,2025-06-05T03:04:42-07:00,9.0.12,김웅패
12661666784,Cardoc,ios,1,수리시스템은 좋음,앱이나 사이트 직관성은 진짜 최악중에 최악,2025-05-16T02:09:21-07:00,9.0.10,리또누
12661350450,Cardoc,ios,5,굿,속도가 느린거빼고는 좋아요,2025-05-15T23:36:06-07:00,9.0.10,남씨2
